kitap_adi,yazar,cevirmen,yayinevi,kategori,isbn,kapak_tipi,yayin_tarihi,olculeri,orijinal_adi,sayfa_sayisi,indirim_orani,eski_fiyat,satis_fiyati,gorsel_url,ozet,kitap_url
Nemesis,ISAAC ASIMOV,MÜNEVVER UZUN,İthaki Yayınları,Bilimkurgu Klasikleri,9786052657515,Karton kapak,,"13,5 x 21",NEMESIS,440,30%,"₺520,00","₺364,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/89f4a1e7-fbba-46bd-ac68-f53f032306bc_nemess.webp,"Dünyadan ayrılan bir uzay yerleşiminin sakinleri, Nemesis adlı yıldızın çevresinde insanlığın geleceğini değiştirebilecek bir dünya keşfeder.",https://www.ithakiyayingrubu.com/nemesis
Yeşil Mars,KİM STANLEY ROBİNSON,UĞUR GÜLSÜN,İthaki Yayınları,Bilimkurgu Klasikleri,9786052657478,Karton kapak,,"13,5 x 21",GREEN MARS,776,30%,"₺780,00","₺546,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/d369d06a-ef38-43c2-b823-7d8a967809a6_yel-mars.webp,"Mars kolonistleri, gezegeni yaşanabilir kılma çabası ile siyasi bağımsızlık mücadelesi arasında derinleşen çatışmalar yaşar.",https://www.ithakiyayingrubu.com/yesil-mars
Mavi Mars,KİM STANLEY ROBİNSON,UĞUR GÜLSÜN,İthaki Yayınları,Bilimkurgu Klasikleri,9786052657461,Karton kapak,,"13,5 x 21",BLUE MARS,856,30%,"₺840,00","₺588,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/167ef181-48ba-42ec-b6b0-6b4850827204_mav-mars.webp,"Yüzyıllar süren dönüşümün ardından Mars, Dünya'nın etkisinden sıyrılmaya çalışan yeni bir uygarlığın ve değişen bir gezegenin sahnesidir.",https://www.ithakiyayingrubu.com/mavi-mars
Beden Kemiricilerin İstilası,JACK FINNEY,BEYZA GÜNGÖR,İthaki Yayınları,Bilimkurgu Klasikleri,9786052657300,Karton kapak,,"13,5 x 21",THE BODY SNATCHERS,216,30%,"₺280,00","₺196,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/c9369e00-fbd9-48a0-9049-ef2b4aeb6273_beden-kemrclern-stlasi.webp,"Küçük bir kasabada insanların yerini, duygusuz kopyalarını üreten gizemli kozalar almaya başlar.",https://www.ithakiyayingrubu.com/beden-kemiricilerin-istilasi
Zamanın Şafağı,Rene Barjavel,S. İpek Ortaer Montanari,İthaki Yayınları,Bilimkurgu Klasikleri,9786052657188,,,"13,5 x 21",LA NUIT DES TEMPS,336,30%,"₺400,00","₺280,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/36e62fff-daf8-4175-b4b6-fa6c3fa308d3_zamanin-afai.webp,"Antarktika'da bulunan binlerce yıllık bir uygarlığın kalıntıları, iki bilim insanını aşk, savaş ve insanlığın geçmişiyle yüzleşmeye sürükler.",https://www.ithakiyayingrubu.com/zamanin-safagi
Hyperion'ın Düşüşü,DAN SİMMONS,Yosun Erdemli Timuçin,İthaki Yayınları,Bilimkurgu Klasikleri,9786052657034,,,"13,5 x 21",THE FALL OF HYPERİON,648,30%,"₺660,00","₺462,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/9987f473-e700-4ecc-b937-5b4ecb822e93_hyperonin-d.webp,"Hegemonya ile Dışarıdakiler arasındaki savaş yaklaşırken Hyperion'daki hacıların kaderi, insanlığın geleceğine dair büyük bir hesaplaşmaya bağlanır.",https://www.ithakiyayingrubu.com/hyperionin-dususu
Kıyamet Kitabı,CONNİE WİLLİS,ÖZLEM YÜKSEL,İthaki Yayınları,Bilimkurgu Klasikleri,9786052656808,,,"13,5 x 21",DOOMSDAY BOOK,624,30%,"₺750,00","₺525,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/9fc4fab6-13f6-4179-b8af-e77e474713db_kiyamet-ktabi.webp,"21. yüzyıldan bir tarihçi, Ortaçağ İngiltere'sine yaptığı zaman yolculuğunda kendini Kara Veba'nın ortasında bulur.",https://www.ithakiyayingrubu.com/kiyamet-kitabi-2
Metropolis,THEA VON HARBOU,Anıl Alacaoğlu,İthaki Yayınları,Bilimkurgu Klasikleri,9786052656686,,,"13,5 x 21",Metropolis,248,30%,"₺220,00","₺154,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/020cd5a1-f0fd-4052-af96-659fcc5e86c0_metropols.webp,"Yeraltında çalışan işçilerle gökdelenlerde yaşayan seçkinleri ayıran geleceğin kentinde, bir kadın iki sınıf arasında uzlaşma arar.",https://www.ithakiyayingrubu.com/metropolis
Kar Fırtınası-İthaki,NEAL STEPHENSON,UĞUR GÜLSÜN,İthaki Yayınları,Bilimkurgu Klasikleri,9786052656549,,,"13,5 x 21",SNOW CRASH,584,30%,"₺500,00","₺350,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/fe673978-019f-4ea5-9572-36428112a626_kar-firtinasi-thak.webp,"Sanal gerçeklik ve şirket devletlerinin egemen olduğu yakın gelecekte bir hacker, dijital bir uyuşturucunun ardındaki tehlikeyi araştırır.",https://www.ithakiyayingrubu.com/kar-firtinasi-ithaki
Oyunların Oyuncusu,IAİN M. BANKS,Doğa Özışık,İthaki Yayınları,Bilimkurgu Klasikleri,9786052656266,,,"13,5 x 21",THE PLAYER OF GAMES,392,30%,"₺350,00","₺245,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/a1fc3022-4e55-4420-aca7-e4a43a1d9fad_oyunlarin-oyuncusu.webp,"Kültür'ün usta oyuncusu Gurgeh, uzak bir imparatorluğun her şeyi belirleyen karmaşık oyununda rakip olmak üzere gönderilir.",https://www.ithakiyayingrubu.com/oyunlarin-oyuncusu
Rama'yla Buluşma,ARTHUR C. CLARKE,Ümit Kayalıoğlu,İthaki Yayınları,Bilimkurgu Klasikleri,9786052655795,,,"13,5 x 21",RENDEZVOUS WİTH RAMA,280,30%,"₺280,00","₺196,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/621d6b73-aec9-44c1-8262-c8eecb8fcc21_ramayla-buluma.webp,"Güneş Sistemi'ne giren dev silindirik uzay aracını incelemek üzere gönderilen ekip, Rama'nın yabancı sırlarıyla karşılaşır.",https://www.ithakiyayingrubu.com/ramayla-bulusma
Yüksek Şatodaki Adam,PHILIP K. DICK,DOST KÖRPE,İthaki Yayınları,Bilimkurgu Klasikleri,9786052655856,,,"13,5 x 21",THE MAN İN THE HİGH CASTLE,312,30%,"₺300,00","₺210,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/694e476e-df04-486a-a349-f2e3719e439e_yksek-atodak-adam.webp,"Mihver Devletleri'nin İkinci Dünya Savaşı'nı kazandığı alternatif Amerika'da, farklı hayatlar yasaklı bir romanın çevresinde kesişir.",https://www.ithakiyayingrubu.com/yuksek-satodaki-adam
Dinozor Öyküleri,RAY BRADBURY,Elif Ersavcı,İthaki Yayınları,Bilimkurgu Klasikleri,9786052652848,,2023-12-28,"13,5 x 21",DİNOSAUR TALES,96,30%,"₺180,00","₺126,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/cc3ac7d3-896f-4d3c-8e19-e2035bb35d7c_dnozor-ykler.webp,"Ray Bradbury'nin dinozorları zaman yolculuğu, uzak gezegenler ve insan hayal gücüyle buluşturan kısa bilimkurgu öyküleri derlemesi.",https://www.ithakiyayingrubu.com/dinozor-oykuleri
Şimdi Ve Daima,RAY BRADBURY,KEMAL BARAN ÖZBEK,İthaki Yayınları,Bilimkurgu Klasikleri,9786052652817,,2023-12-28,"13,5 x 21",NOW AND FOREVER,216,30%,"₺280,00","₺196,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/ad87344b-34b7-49fa-ad65-d3b2913ab2bb_md-ve-dama.webp,"Bir korku yazarının iki uzun öyküsü, geçmişin gölgeleri ve insan zihninin karanlık olasılıkları etrafında gelişir.",https://www.ithakiyayingrubu.com/simdi-ve-daima-2
Yol İşaretleri,ROGER ZELAZNY,TAYLAN TAFTAF,İthaki Yayınları,Bilimkurgu Klasikleri,9786052652640,,2023-11-30,"13,5 x 21",ROADMARKS,208,30%,"₺250,00","₺175,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/6c80151a-cb13-4755-a217-e6a9913dc6c3_yol-aretler.webp,"Zamanın ve olasılıkların kavşağındaki bir otoyolda yolculuk eden Red Dorakeen, onu izleyen güçlerden kaçmaya çalışır.",https://www.ithakiyayingrubu.com/yol-isaretleri
İnsanlığın Çocukları,P.D. JAMES,Gökçe Metin,İthaki Yayınları,Bilimkurgu Klasikleri,9786052652435,,2023-10-18,"13,5 x 21",THE CHILDREN OF MEN,320,30%,"₺375,00","₺262,50",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/ff26c368-7236-444e-b9b0-baf03e41399d_nsanliin-ocuklari.webp,"İnsanlığın yirmi yıldır çocuk sahibi olamadığı bir İngiltere'de bir tarihçi, umudun yeniden doğuşuyla bağlantılı tehlikeli bir göreve çekilir.",https://www.ithakiyayingrubu.com/insanligin-cocuklari
Mümkünatı Yok,SINCLAIR LEWIS,Deniz Daruga,İthaki Yayınları,Bilimkurgu Klasikleri,9786052651629,,2023-05-25,"12,5 x 19,5",IT CAN'T HAPPEN HERE,456,30%,"₺425,00","₺297,50",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/5f332a94-a109-4f09-abce-b519f2d7565e_mmknati-yok.webp,"Popülist ve otoriter bir adayın iktidara yükseldiği alternatif Amerika'da bir gazeteci, özgürlüklerin nasıl yok edildiğine tanıklık eder.",https://www.ithakiyayingrubu.com/mumkunati-yok
Tohumdan Hasada,OCTAVİA BUTLER,Pırıltı Onukar,İthaki Yayınları,Bilimkurgu Klasikleri,9786052651346,,2023-04-26,"13,5 x 21",SEED TO HARVEST,984,30%,"₺900,00","₺630,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/009720d1-80fb-442a-a7f8-3b81a3bcc109_tohumdan-hasada.webp,"Doro ve Anyanwu'nun yüzyıllara yayılan mücadelesi üzerinden güç, kölelik ve insanlığın zorla dönüştürülmesi anlatılır.",https://www.ithakiyayingrubu.com/tohumdan-hasada
Neuromancer,WILLIAM GIBSON,N. Can Kantarcı,İthaki Yayınları,Bilimkurgu Klasikleri,9786052651063,,2023-03-15,"13,5 x 21",NEUROMANCER,336,30%,"₺350,00","₺245,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/3bcd5161-273d-4269-84dd-66e8ccdbc0bf_neuromancer.webp,"Borçlu bir hacker, dev şirketlerin ve yapay zekâların yön verdiği siberpunk dünyada son derece tehlikeli bir işe alınır.",https://www.ithakiyayingrubu.com/neuromancer
Güneşin Altın Elmaları,RAY BRADBURY,Mehmet Moralı,İthaki Yayınları,Bilimkurgu Klasikleri,9786052650950,,2023-03-01,"13,5 x 21",THE GOLDEN APPLES OF THE DUN,392,30%,"₺380,00","₺266,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/a8345c7f-6fae-44a0-b4e0-3e2fe5a1c3d6_gnen-altin-elmalari.webp,"Zaman, uzay ve günlük hayatın tuhaf kırılmaları üzerine kurulu, şiirsel ve ürpertici bilimkurgu-fantastik öyküler derlemesi.",https://www.ithakiyayingrubu.com/gunesin-altin-elmalari-2
Callahan Günlükleri,SPIDER ROBINSON,Doğa Özışık,İthaki Yayınları,Bilimkurgu Klasikleri,9786052650684,,2023-01-25,"13,5 x 21",THE CALLAHAN CHRONİCALS,536,30%,"₺600,00","₺420,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/1ab1c4ea-192b-470b-adff-2051e4bd5e6e_callahan-gnlkler.webp,"Zaman yolcuları, uzaylılar ve sıra dışı müdavimlerin buluştuğu bir barda, dayanışma ve mizahla çözülen absürt sorunlar anlatılır.",https://www.ithakiyayingrubu.com/callahan-gunlukleri
Hyperion / Hyperion Kantoları 1. Kitap,DAN SİMMONS,N. Can Kantarcı,İthaki Yayınları,Bilimkurgu Klasikleri,9786052655313,,2023-01-01,"13,5 x 21",HYPERİON,600,30%,"₺500,00","₺350,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/3af98268-0911-4f80-8108-8fb9efe93c6e_hyperon-hyperon-kantolari-1-ktap.webp,"Uzak gelecekte yedi hacı, zaman mezarlarına giderken Hyperion'un ölümcül varlığı Shrike ile bağlantılı geçmişlerini anlatır.",https://www.ithakiyayingrubu.com/hyperion-hyperion-kantolari-1-kitap
Yokuştaki Salyangoz,ARKADİ STRUGATSKİ,,İthaki Yayınları,Bilimkurgu Klasikleri,9786257737395,,2023-01-01,"13,5 x 21",,264,30%,"₺300,00","₺210,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/1f5fb35b-6b81-4dba-959c-e02c9023f542_yokutak-salyangoz.webp,"İki farklı anlatı, anlaşılmaz yasalarla yönetilen bir kurum ile insanı dönüştüren esrarengiz Orman arasında sıkışmış bireyleri izler.",https://www.ithakiyayingrubu.com/yokustaki-salyangoz
Cesur Yeni Dünya,ALDOUS HUXLEY,,İthaki Yayınları,Bilimkurgu Klasikleri,9789756902165,,2023-01-01,"13,5 x 21",,272,30%,"₺250,00","₺175,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/875ca496-a565-450e-a85f-fb26b23fb506_cesur-yen-dnya.webp,"Haz, tüketim ve genetik sınıflar üzerine kurulu kusursuz görünen bir toplumda, bireysellik ve özgürlük tehdit olarak görülür.",https://www.ithakiyayingrubu.com/cesur-yeni-dunya
İçeriden Ölmek,ROBERT SİLVERBERG,Elif Ersavcı,İthaki Yayınları,Bilimkurgu Klasikleri,9786052654217,,2023-01-01,"13,5 x 21",DYİNG INSİDE,260,30%,"₺280,00","₺196,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/6c789554-5fdd-4426-8b7e-6b42ca44b1d8_erden-lmek.webp,"Zihin okuma yeteneği yavaşça kaybolan David Selig, gücünün sağladığı ayrıcalıkların altında ezilen hayatını sorgular.",https://www.ithakiyayingrubu.com/iceriden-olmek
Görünmez Adam,H.G. WELLS,,İthaki Yayınları,Bilimkurgu Klasikleri,9786053756781,,2023-01-01,"13,5 x 21",,232,30%,"₺180,00","₺126,00",https://wwwithakiyayingrubucom.sm.mncdn.com/wwwithakiyayingrubucom-pictures/56b66713-cf6f-4f3a-b43d-e3468b9870b1_grnmez-adam.webp,Bilim insanı Griffin görünmezliği başarır; ancak gücü geri çevirememesi onu giderek tehlikeli bir yalnızlığa iter.,https://www.ithakiyayingrubu.com/gorunmez-adam
