Temperature_C,Moisture_%,pH,Hive_Weight_kg
34.99,72.75,4.16,31.93
33.72,79.34,4.89,25.95
35.3,50.39,4.8,37.1
37.05,78.79,5.9,31.47
33.53,57.25,5.72,33.65
33.53,53.9,4.78,36.96
37.16,42.01,4.5,30.11
35.53,42.11,4.45,31.58
33.06,67.68,5.82,34.05
35.09,58.32,3.66,26.38
33.07,49.06,3.54,30.27
33.07,64.56,5.89,30.63
34.48,50.11,4.93,25.22
30.17,63.11,3.89,41.59
30.55,54.37,4.21,22.96
32.88,72.94,6.3,23.51
31.97,72.83,6.08,36.57
34.63,59.09,5.63,33.57
32.18,54.03,4.95,24.87
31.18,54.5,5.06,33.04
36.93,72.23,6.43,37.34
33.55,53.13,6.4,29.85
34.14,48.36,4.15,42.99
31.15,43.39,5.93,21.38
32.91,58.67,4.09,33.47
34.22,59.29,4.14,35.83
31.7,73.64,5.53,34.46
34.75,48.85,4.72,28.98
32.8,55.24,6.29,28.55
33.42,72.34,3.77,32.22
32.8,72.94,5.03,34.08
37.7,55.38,6.26,33.01
33.97,58.36,6.21,35.2
31.88,52.13,3.97,24.91
35.65,77.3,4.6,28.86
31.56,44.75,5.36,25.3
34.42,77.35,3.98,28.07
30.08,67.35,6.4,35.08
31.34,61.26,6.24,30.54
34.39,41.31,4.0,43.03
35.48,59.02,3.86,30.97
34.34,56.31,3.76,30.3
33.77,46.45,6.23,30.53
33.4,66.26,4.08,26.81
31.04,78.85,4.75,29.71
32.56,62.49,4.85,35.64
33.08,68.59,5.3,30.57
36.11,42.74,3.72,26.03
34.69,56.71,4.18,25.37
30.47,44.65,6.29,27.75
34.65,64.51,6.23,30.37
33.23,77.54,5.84,35.97
32.65,66.47,3.56,23.3
35.22,43.07,4.48,28.4
36.06,54.19,5.38,30.72
35.86,62.03,4.33,20.83
32.32,56.13,6.23,25.83
33.38,73.35,5.4,26.6
34.66,72.59,3.72,26.02
35.95,64.47,6.23,30.96
33.04,54.94,6.37,29.2
33.63,50.21,3.73,27.22
31.79,44.23,5.1,32.14
31.61,54.2,4.41,38.62
35.63,56.53,4.68,38.2
36.71,67.03,4.04,20.39
33.86,66.33,5.23,32.89
36.01,42.8,6.37,29.11
34.72,55.81,5.01,30.78
32.71,47.27,3.75,28.01
34.72,46.27,5.36,30.59
37.08,73.09,4.52,30.76
33.93,41.68,6.07,27.11
37.13,56.77,4.8,25.52
28.76,46.73,4.08,27.76
35.64,75.17,4.07,31.17
34.17,62.28,5.81,32.99
33.4,49.26,4.3,34.27
34.18,60.1,5.8,27.53
30.02,69.26,4.12,31.42
33.56,78.32,4.47,34.81
34.71,48.82,4.9,35.83
36.96,75.45,6.33,29.71
32.96,77.37,6.3,28.9
32.38,76.66,4.12,30.96
33.0,65.42,4.57,24.25
35.83,65.19,3.95,29.03
34.66,56.13,5.03,33.72
32.94,70.1,4.88,33.21
35.03,61.25,6.2,28.65
34.19,67.1,6.29,31.09
35.94,57.14,4.65,25.88
32.6,69.26,4.98,33.52
33.34,72.98,6.19,29.61
33.22,45.86,5.92,28.62
31.07,73.32,3.51,28.19
34.59,61.61,4.46,29.69
34.52,73.79,4.77,27.76
34.01,57.25,4.19,33.29
33.53,55.16,4.1,28.02
31.17,76.6,3.61,37.96
33.16,50.05,5.43,37.33
33.31,73.77,4.29,25.54
32.4,59.36,3.66,30.35
33.68,60.56,4.19,26.75
34.81,52.34,5.91,28.37
37.77,62.92,6.05,40.01
34.35,53.01,4.95,28.46
34.52,41.57,4.75,31.8
33.85,50.88,6.43,32.71
30.16,40.26,4.1,25.0
33.95,79.13,4.15,25.72
34.12,78.63,4.38,23.97
38.93,55.81,4.02,25.57
33.62,69.13,4.64,15.75
34.6,53.83,6.23,32.72
33.93,66.84,5.35,40.27
31.66,72.22,4.74,30.74
36.29,77.87,6.3,22.92
35.5,56.01,3.65,26.79
35.58,71.33,4.13,27.71
32.18,50.64,5.2,24.91
36.81,79.61,5.35,34.3
31.2,41.03,3.62,34.05
