sentence1,sentence2,score,source,pair_type,topic,split
Teknoloji devi yeni sohbet robotu modelini duyurdu.,Şirket güncellenmiş sohbet robotu sürümünü kullanıma sundu.,0.800474,synthetic,paraphrase,teknoloji,train
Borsa İstanbul günü yüzde 40 değişimle kapattı.,Popüler uygulama yapay zeka modeli için yeni güncelleme yayınladı.,0.14773,synthetic,unrelated,ekonomi|teknoloji,train
Ulaştırma Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,Cumhurbaşkanı Yunanistan'e resmi ziyarette bulundu.,0.1662,synthetic,related,siyaset,train
Diyarbakır'da bir binada çıkan yangın kısa sürede kontrol altına alındı.,Diyarbakır'daki yangın itfaiyenin müdahalesiyle söndürüldü.,0.837682,synthetic,paraphrase,asayis,train
Sevilen komedyen eşiyle Muğla'da tatil yaparken görüntülendi.,Sevilen komedyen ve eşinin Muğla tatilinden kareler paylaşıldı.,0.962943,synthetic,paraphrase,magazin,train
Teknoloji şirketi yeni giyilebilir cihaz tanıttı.,Konya'da çıkan yangın itfaiye ekiplerince söndürüldü.,0.171005,synthetic,unrelated,teknoloji|asayis,train
Teknoloji devi yeni giyilebilir cihaz modelini duyurdu.,Şirket güncellenmiş giyilebilir cihaz sürümünü kullanıma sundu.,0.735792,synthetic,paraphrase,teknoloji,train
"Enflasyonun %60'tan %30'a inmesi, fiyatların düştüğü anlamına gelmiyor.",Apple iphone ürünlerine zam yapacağını açıkladı.,0.235099,manual,manual,,train
İspanya'de yapılan seçimleri muhalefet kazandı.,Teknoloji şirketi yeni oyun konsolu tanıttı.,0.15058,synthetic,unrelated,dunya|teknoloji,train
Konya'da sıcaklık 31 dereceye ulaştı.,Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,0.161581,synthetic,unrelated,hava|saglik,train
"Antalyaspor, tecrübeli oyuncuyla anlaşmaya vardı.",Antalyaspor deneyimli futbolcuyu kadrosuna kattı.,0.80303,synthetic,paraphrase,spor,train
Yunanistan'de yapılan seçimleri muhalefet kazandı.,Sağlık Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,0.159974,synthetic,unrelated,dunya|siyaset,train
"Alanyaspor, sahasında Başakşehir'yi 1-0 mağlup etti.",Sakarya'da çıkan yangın itfaiye ekiplerince söndürüldü.,0.23691,synthetic,unrelated,spor|asayis,train
Meteoroloji Kayseri için kuvvetli yağış uyarısı yaptı.,Hollanda iklim zirvesine ev sahipliği yapıyor.,0.314337,synthetic,unrelated,hava|dunya,train
Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,Bolu'da çıkan yangın itfaiye ekiplerince söndürüldü.,0.109241,synthetic,unrelated,teknoloji|asayis,train
Tavuk fiyatları son bir ayda yüzde 32 arttı.,Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,0.124618,synthetic,unrelated,ekonomi|saglik,train
Uzmanlar yüksek tansiyon vakalarındaki artışa dikkat çekti.,Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,0.34154,synthetic,related,saglik,train
Usta oyuncu eşiyle Bolu'da tatil yaparken görüntülendi.,Usta oyuncu ve eşinin Bolu tatilinden kareler paylaşıldı.,0.949553,synthetic,paraphrase,magazin,train
Fenomen isim eşiyle Muğla'da tatil yaparken görüntülendi.,Fenomen isim ve eşinin Muğla tatilinden kareler paylaşıldı.,0.93176,synthetic,paraphrase,magazin,train
Cumhurbaşkanı Çin'e resmi ziyarette bulundu.,Enerji Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,0.19429,synthetic,related,siyaset,train
genç oyuncu sürpriz bir törenle dünyaevine girdi.,Cumhurbaşkanı Fransa'e resmi ziyarette bulundu.,0.233336,synthetic,unrelated,magazin|siyaset,train
İstanbul'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,İstanbul'da çıkan yangın itfaiye ekiplerince söndürüldü.,0.433523,synthetic,related,asayis,train
sevilen komedyen sürpriz bir törenle dünyaevine girdi.,ünlü sunucu yeni projesiyle ekranlara dönüyor.,0.317383,synthetic,related,magazin,train
Japonya'de yapılan seçimleri muhalefet kazandı.,Popüler uygulama yapay zeka modeli için yeni güncelleme yayınladı.,0.155932,synthetic,unrelated,dunya|teknoloji,train
Ekmek fiyatları son bir ayda yüzde 39 arttı.,Trabzon'a mevsimin ilk karı düştü.,0.147759,synthetic,unrelated,ekonomi|hava,train
Merkez Bankası politika faizini sabit tuttu.,Kayseri'da sıcaklık 43 dereceye ulaştı.,0.171733,synthetic,unrelated,ekonomi|hava,train
Kayseri'a mevsimin ilk karı düştü.,Uzmanlar zatürre vakalarındaki artışa dikkat çekti.,0.159573,synthetic,unrelated,hava|saglik,train
Aydın'da çıkan yangın itfaiye ekiplerince söndürüldü.,Popüler uygulama sohbet robotu için yeni güncelleme yayınladı.,0.195688,synthetic,unrelated,asayis|teknoloji,train
Kasımpaşa'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,Antalyaspor teknik direktörüyle yollarını ayırdı.,0.296972,synthetic,related,spor,train
Ünlü şarkıcı eşiyle Sakarya'da tatil yaparken görüntülendi.,Ünlü şarkıcı ve eşinin Sakarya tatilinden kareler paylaşıldı.,0.965724,synthetic,paraphrase,magazin,train
Merkez Bankası politika faizini sabit tuttu.,İstanbul'a mevsimin ilk karı düştü.,0.111174,synthetic,unrelated,ekonomi|hava,train
Bistte yükseliş başladı mı yoksa sadece tepki mi?,"Borsa İstanbul Bist 100 endeksi günü yüzde 2,07 değer kazarak kapattı.",0.326318,manual,manual,,train
Teknoloji şirketi yeni elektrikli otomobil tanıttı.,Teknoloji şirketi yeni yapay zeka modeli tanıttı.,0.633588,synthetic,related,teknoloji,train
Ana muhalefet partisi yeni kanun teklifine ilişkin açıklama yaptı.,Ana muhalefet partisi hazırladığı yasa teklifini kamuoyuna duyurdu.,0.840991,synthetic,paraphrase,siyaset,train
"Galatasaray, tecrübeli oyuncuyla anlaşmaya vardı.",Galatasaray deneyimli futbolcuyu kadrosuna kattı.,0.771298,synthetic,paraphrase,spor,train
ABD'de düzenlenen genel seçimlerde sonuçlar belli oldu.,ABD halkı sandık başına giderek yeni yönetimini seçti.,0.558364,synthetic,paraphrase,dunya,train
Muğla'da çıkan yangın itfaiye ekiplerince söndürüldü.,İzmir'da meydana gelen trafik kazasında 2 kişi yaralandı.,0.285977,synthetic,related,asayis,train
Bodrum FK'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,Sakarya'a mevsimin ilk karı düştü.,0.258963,synthetic,unrelated,spor|hava,train
"Kasımpaşa, yıldız futbolcuyla sözleşme yeniledi.",Eskişehir'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,0.147777,synthetic,unrelated,spor|asayis,train
"Göztepe, sahasında Eyüpspor'yi 1-2 mağlup etti.",Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,0.069977,synthetic,unrelated,spor|saglik,train
Antalya ve çevresi için sağanak yağış bekleniyor.,Meteoroloji Antalya için sağanak uyarısında bulundu.,0.779222,synthetic,paraphrase,hava,train
Muğla'da bir binada çıkan yangın kısa sürede kontrol altına alındı.,Muğla'daki yangın itfaiyenin müdahalesiyle söndürüldü.,0.825671,synthetic,paraphrase,asayis,train
Çin iklim zirvesine ev sahipliği yapıyor.,Meteoroloji Trabzon için kuvvetli yağış uyarısı yaptı.,0.328613,synthetic,unrelated,dunya|hava,train
"Samsunspor, Kayserispor karşısında sahadan 2-1 galip ayrıldı.",Samsunspor evinde Kayserispor'yi 2-1'lik skorla yendi.,0.897748,synthetic,paraphrase,spor,train
Gaziantep'da iki aracın çarpışması sonucu 2 kişi yaralandı.,Gaziantep'daki trafik kazasında 2 kişi yaralı kurtuldu.,0.894116,synthetic,paraphrase,asayis,train
Muğla'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,Popüler uygulama dizüstü bilgisayar için yeni güncelleme yayınladı.,0.150831,synthetic,unrelated,asayis|teknoloji,train
Hollanda'de meydana gelen depremde maddi hasar oluştu.,Uzmanlar zatürre vakalarındaki artışa dikkat çekti.,0.236671,synthetic,unrelated,dunya|saglik,train
"Alanyaspor, Trabzonspor karşısında sahadan 3-2 galip ayrıldı.",Alanyaspor evinde Trabzonspor'yi 3-2'lik skorla yendi.,0.87054,synthetic,paraphrase,spor,train
Popüler uygulama akıllı telefon için yeni güncelleme yayınladı.,"Gaziantep FK, sahasında Alanyaspor'yi 0-1 mağlup etti.",0.043474,synthetic,unrelated,teknoloji|spor,train
Beşiktaş'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,0.100211,synthetic,unrelated,spor|saglik,train
İzmir'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,ana muhalefet partisi yeni yasa teklifini meclise sundu.,0.095298,synthetic,unrelated,asayis|siyaset,train
Ulaştırma Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,iktidar partisi yeni yasa teklifini meclise sundu.,0.421446,synthetic,related,siyaset,train
Bolu'a mevsimin ilk karı düştü.,İzmir'a mevsimin ilk karı düştü.,0.777701,synthetic,related,hava,train
Liderler İspanya'de düzenlenen zirvede bir araya geldi.,İspanya'deki zirvede liderler önemli konuları görüştü.,0.824557,synthetic,paraphrase,siyaset,train
Cumhurbaşkanı Çin'e resmi ziyarette bulundu.,Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,0.139815,synthetic,unrelated,siyaset|teknoloji,train
