threshold,tp,fn,fp,tn,precision,recall,f1,accuracy
0.2,20,0,6,4,0.769,1.0,0.87,0.8
0.21,20,0,5,5,0.8,1.0,0.889,0.833
0.22,20,0,5,5,0.8,1.0,0.889,0.833
0.23,20,0,5,5,0.8,1.0,0.889,0.833
0.24,20,0,5,5,0.8,1.0,0.889,0.833
0.25,20,0,5,5,0.8,1.0,0.889,0.833
0.26,20,0,4,6,0.833,1.0,0.909,0.867
0.27,20,0,4,6,0.833,1.0,0.909,0.867
0.28,20,0,4,6,0.833,1.0,0.909,0.867
0.29,20,0,4,6,0.833,1.0,0.909,0.867
0.3,20,0,4,6,0.833,1.0,0.909,0.867
0.31,20,0,4,6,0.833,1.0,0.909,0.867
0.32,20,0,4,6,0.833,1.0,0.909,0.867
0.33,20,0,4,6,0.833,1.0,0.909,0.867
0.34,20,0,4,6,0.833,1.0,0.909,0.867
0.35,20,0,4,6,0.833,1.0,0.909,0.867
0.36,20,0,3,7,0.87,1.0,0.93,0.9
0.37,19,1,3,7,0.864,0.95,0.905,0.867
0.38,19,1,1,9,0.95,0.95,0.95,0.933
0.39,19,1,1,9,0.95,0.95,0.95,0.933
0.4,19,1,1,9,0.95,0.95,0.95,0.933
0.41,18,2,1,9,0.947,0.9,0.923,0.9
0.42,18,2,1,9,0.947,0.9,0.923,0.9
0.43,18,2,1,9,0.947,0.9,0.923,0.9
0.44,18,2,1,9,0.947,0.9,0.923,0.9
0.45,18,2,1,9,0.947,0.9,0.923,0.9
0.46,18,2,0,10,1.0,0.9,0.947,0.933
0.47,18,2,0,10,1.0,0.9,0.947,0.933
0.48,18,2,0,10,1.0,0.9,0.947,0.933
0.49,18,2,0,10,1.0,0.9,0.947,0.933
0.5,18,2,0,10,1.0,0.9,0.947,0.933
0.51,18,2,0,10,1.0,0.9,0.947,0.933
0.52,18,2,0,10,1.0,0.9,0.947,0.933
0.53,18,2,0,10,1.0,0.9,0.947,0.933
0.54,17,3,0,10,1.0,0.85,0.919,0.9
0.55,17,3,0,10,1.0,0.85,0.919,0.9
0.56,17,3,0,10,1.0,0.85,0.919,0.9
0.57,17,3,0,10,1.0,0.85,0.919,0.9
0.58,17,3,0,10,1.0,0.85,0.919,0.9
0.59,17,3,0,10,1.0,0.85,0.919,0.9
0.6,17,3,0,10,1.0,0.85,0.919,0.9
0.61,17,3,0,10,1.0,0.85,0.919,0.9
0.62,16,4,0,10,1.0,0.8,0.889,0.867
0.63,16,4,0,10,1.0,0.8,0.889,0.867
0.64,16,4,0,10,1.0,0.8,0.889,0.867
0.65,14,6,0,10,1.0,0.7,0.824,0.8
0.66,11,9,0,10,1.0,0.55,0.71,0.7
0.67,10,10,0,10,1.0,0.5,0.667,0.667
0.68,10,10,0,10,1.0,0.5,0.667,0.667
0.69,10,10,0,10,1.0,0.5,0.667,0.667
0.7,10,10,0,10,1.0,0.5,0.667,0.667
